Country,,rgdpch1970,rgdpch2000,rgdpch2009,rgdpch1990,rgdpch1995,rgdpch2005,Growth Rate btw 1970-2009,Growth rates btw 1960 and 2009,Growth rate between 1990 and 2009,Growth rate btw 1995-2009,Growth Rate btw 2000 and 2009,Growth Rate between 2005 and 2009,rgdpch1960,1970 data,rgdpch1960,1995 data,1990 data,2000 data,africa,asia,westerneurope,,,,,,,,,,,,,,,,,
Comoros,,1234.04,978.90,915.77,1302.21,1167.13,960.63,-0.00762,,-0.01836,-0.01717,-0.00738,-0.01188,757.21,,757.21,,,,1,,,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",,1052.99,117.22,231.29,724.28,392.23,217.88,-0.03812,,-0.05831,-0.03702,0.07844,0.01504,1092.26,,1092.26,,,,1,,,,,,,,,,,,,,,,,,,
"Congo, Republic of",,1234.47,2288.35,2220.28,2437.46,2182.64,2188.81,0.01516,,-0.00490,0.00122,-0.00335,0.00357,791.10,,791.10,,,,1,,,,,,,,,,,,,,,,,,,
Costa Rica,,6485.88,8940.26,11217.14,7465.20,8180.06,9950.03,0.01415,,0.02166,0.02281,0.02553,0.03042,5023.87,,5023.87,,,,,,,,,,,,,,,,,,,,,,,
Cote d`Ivoire,,1430.61,1509.90,1342.95,1617.49,1441.82,1328.36,-0.00162,,-0.00974,-0.00506,-0.01293,0.00273,977.11,,977.11,,,,1,,,,,,,,,,,,,,,,,,,
Croatia,,,9683.66,15088.13,10800.17,7920.04,14111.35,#DIV/0!,,0.01775,0.04711,0.05051,0.01687,0.00,,6370.30,,Croatia,,,,,,,,,,,,,,,,,,,,,
Cuba,,5536.74,8348.14,11518.33,10210.17,7323.09,9132.61,0.01896,,0.00637,0.03288,0.03641,0.05974,0.00,Cuba,4588.61,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,,5997.58,17225.10,18980.62,15172.29,15559.20,18379.11,0.02998,,0.01186,0.01430,0.01084,0.00808,3335.81,,3335.81,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,,,16302.01,21956.91,15360.89,14784.34,19695.47,#DIV/0!,,0.01898,0.02865,0.03364,0.02755,0.00,,8738.46,,Czech Republic,,,,,,,,,,,,,,,,,,,,,
Denmark,,17790.11,33122.53,33908.88,26300.85,29072.03,34703.75,0.01668,,0.01346,0.01105,0.00261,-0.00578,12122.61,,12122.61,,,,,,1,,,,,,,,,,,,,,,,,
Djibouti,,5273.73,1945.09,2061.43,3381.95,2407.60,2198.20,-0.02380,,-0.02572,-0.01103,0.00648,-0.01593,0.00,Djibouti,6709.96,,,,1,,,,,,,,,,,,,,,,,,,
